from,to,relation,weight
nds,alva,2,
nds,azat,2,
nds,chri,2,
nds,kava,2,
nds,maks,2,
nds,prim,2,
nds,prot,2,
nds,runa,2,
nds,skep,2,
alva,nds,2,
azat,nds,2,
chri,nds,2,
kava,nds,2,
maks,nds,2,
prim,nds,2,
prot,nds,2,
runa,nds,2,
skep,nds,2,
svp,bloo,2,
svp,juli,2,
svp,komb,2,
bloo,svp,2,
juli,svp,2,
komb,svp,2,
bomb,drsu,2,
bomb,86ki,2,
bomb,herz,2,
bomb,ptk,2,
bomb,sadi,2,
drsu,bomb,2,
86ki,bomb,2,
herz,bomb,2,
ptk,bomb,2,
sadi,bomb,2,
takt,micr,2,
takt,vill,2,
micr,takt,2,
vill,takt,2,
alva,runa,1,
runa,alva,1,
deee,vill,3,2
vill,deee,3,2
ptk,86ki,3,2
86ki,ptk,3,2
chri,prot,3,2
prot,chri,3,2
